test_case_id,human_model,family,case_type,goal_achievement,logical_validity,coherence_structure,depth,efficiency,uncertainty,insight,overall_quality,human_overall,ai_overall,winner
m089-NEG-01,Optionality Preservation,Additional Expert Strategies,NEG,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.7,2.7,4.7,ai
m089-POS-01,Optionality Preservation,Additional Expert Strategies,POS,5.0,5.0,5.0,4.0,3.0,4.0,4.0,4.3,4.6,4.3,human
m090-NEG-01,Minimum Viable Experiment (Build-Measure-Learn),Additional Expert Strategies,NEG,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.7,5.0,ai
m090-POS-01,Minimum Viable Experiment (Build-Measure-Learn),Additional Expert Strategies,POS,5.0,5.0,5.0,4.0,3.0,4.0,4.0,4.3,4.6,4.3,human
m091-NEG-01,Deliberate Practice & Chunking,Additional Expert Strategies,NEG,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.9,2.3,4.9,ai
m091-POS-01,Deliberate Practice & Chunking,Additional Expert Strategies,POS,4.0,4.0,5.0,3.0,4.0,4.0,3.0,3.9,4.7,3.9,human
m092-NEG-01,Spaced Repetition & Memory Science,Additional Expert Strategies,NEG,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.9,1.7,4.9,ai
m092-POS-01,Spaced Repetition & Memory Science,Additional Expert Strategies,POS,5.0,5.0,5.0,4.0,3.0,4.0,4.0,4.3,4.6,4.3,human
m093-NEG-01,Feynman Technique,Additional Expert Strategies,NEG,5.0,5.0,5.0,5.0,3.0,4.0,5.0,4.6,3.0,4.6,ai
m093-POS-01,Feynman Technique,Additional Expert Strategies,POS,5.0,5.0,5.0,4.0,3.0,4.0,4.0,4.3,4.6,4.3,human
m094-NEG-01,Critical Reading / Socratic Questioning of Texts,Additional Expert Strategies,NEG,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.7,2.6,4.7,ai
m094-POS-01,Critical Reading / Socratic Questioning of Texts,Additional Expert Strategies,POS,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.5,4.6,4.5,human
m095-NEG-01,Fast-and-Frugal Decision Trees (Gigerenzer),Additional Expert Strategies,NEG,5.0,4.0,5.0,5.0,3.0,5.0,5.0,4.6,2.9,4.6,ai
m095-POS-01,Fast-and-Frugal Decision Trees (Gigerenzer),Additional Expert Strategies,POS,5.0,5.0,5.0,4.0,3.0,4.0,4.0,4.2,4.6,4.2,human
m096-NEG-01,Ensemble Thinking (Diverse Views Averaging),Additional Expert Strategies,NEG,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.6,2.4,4.6,ai
m096-POS-01,Ensemble Thinking (Diverse Views Averaging),Additional Expert Strategies,POS,5.0,5.0,5.0,4.0,3.0,4.0,4.0,4.2,4.6,4.2,human
m097-NEG-01,Reference Class Forecasting (Kahneman),Additional Expert Strategies,NEG,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.9,2.9,4.9,ai
m097-POS-01,Reference Class Forecasting (Kahneman),Additional Expert Strategies,POS,3.0,3.0,5.0,3.0,4.0,4.0,3.0,3.6,4.9,3.6,human
m098-NEG-01,Decision Pre-registration / Journaling,Additional Expert Strategies,NEG,5.0,4.0,5.0,3.0,5.0,4.0,4.0,4.3,3.3,4.3,ai
m098-POS-01,Decision Pre-registration / Journaling,Additional Expert Strategies,POS,3.0,3.0,5.0,3.0,4.0,3.0,2.0,3.3,4.6,3.3,human
m099-NEG-01,Bayesian Knowledge Updating (Org Learning),Additional Expert Strategies,NEG,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.9,2.7,4.9,ai
m099-POS-01,Bayesian Knowledge Updating (Org Learning),Additional Expert Strategies,POS,5.0,5.0,5.0,4.0,3.0,4.0,4.0,4.3,4.6,4.3,human
m100-NEG-01,First Principles + Falsification Combo (Hypothesis Rebuild),Additional Expert Strategies,NEG,5.0,5.0,5.0,3.0,5.0,5.0,4.0,4.6,2.6,4.6,ai
m100-POS-01,First Principles + Falsification Combo (Hypothesis Rebuild),Additional Expert Strategies,POS,5.0,5.0,5.0,4.0,3.0,4.0,4.0,4.3,4.6,4.3,human
m001-POS-02,First Principles Thinking,Foundational & First-Principles,POS,5,5,4,4,5,4,4,4.4,4.7,4.4,human
m001-NEG-02,First Principles Thinking,Foundational & First-Principles,NEG,5,5,5,4,5,4,4,4.6,3.0,4.6,ai
m003-POS-02,Inversion,Foundational & First-Principles,POS,4,5,5,4,4,4,3,4.0,5.0,4.0,human
m003-NEG-02,Inversion,Foundational & First-Principles,NEG,5,5,5,4,5,5,4,5.0,3.0,5.0,ai
m006-POS-02,Bayesian Updating,Probabilistic & Bayesian,POS,5,5,5,4,4,4,4,4.0,5.0,4.0,human
m006-NEG-02,Bayesian Updating,Probabilistic & Bayesian,NEG,5,4,5,4,5,4,3,4.0,5.0,4.0,human
m007-POS-02,Expected Value Thinking,Decision & Strategic,POS,5,5,5,5,4,5,5,4.9,4.7,4.9,complementary
m007-NEG-02,Expected Value Thinking,Decision & Strategic,NEG,5,5,5,5,4,5,5,4.9,3.0,4.9,ai
m011-POS-02,Systems Thinking,Systems & Causal,POS,5,5,5,4,4,5,4,4.0,5.0,4.0,human
m011-NEG-02,Systems Thinking,Systems & Causal,NEG,5,5,5,4,4,5,4,5.0,2.0,5.0,ai
m019-POS-02,Red Teaming / Devil's Advocate,Dialectical & Critical,POS,4,5,5,4,5,4,4,4.1,4.6,4.1,human
m019-NEG-02,Red Teaming / Devil's Advocate,Dialectical & Critical,NEG,5,5,5,5,5,4,5,4.8,2.5,4.8,ai
