test_case_id,human_model,case_type,human_overall,ai_overall,verdict,reason
m030-POS-01,Constraint-Driven Creativity,POS,4.6,4.9,ai,"vs baseline: the v5 human baseline's home-turf moves — constraint-to-principle conversion ('the only thing that pulls is the rubber band'), the iterative tightening pass, band pre-tension, exact budget discipline — are now produced first-class by the routed m030 pass (hard/soft classification FIRST, deliberate severe-constraint solution, constraint-compatibility check on output, constraint-augmentation iteration), closing the v5 AI's admitted gap (it complied but never tightened) and flipping the verdict from human 4.6/4.4 to AI 4.9/4.6. The m003 inversion gate adds 6 ranked failure categories and the m007 ruin screen adds a probe-gated floor (100 g step) the baseline asserted away. Residual gap: physical capacity stays ±50% (unmeasured material properties) until the 3-step test runs — the design is APPROXIMATED, not SOLVED; the baseline's asserted margin is never tested either, so this is a shared, not a losing, gap."
m031-NEG-01,Scientific Method (Hypothesis → Experiment → Update),NEG,2.3,4.9,ai,"vs baseline: the baseline's only salvageable move — 'the nulls are only as good as the instruments' (instrumentation-drift hypothesis) — is absorbed as H5 with a 1-minute independent sampler; everywhere else the routed run diverges exactly where the baseline fails: the baseline's confirm-before-act protocol cost ~$13k per test under a $40k/hr burn and its dashboard-scoped hypothesis space never saw the outbound layer, while the dual-route pass (probe-sense-respond + tempo) widened the frame in 1 minute, found the T-2h geo-fence job, acted reversibly, and verified by recovery curve."
m031-POS-01,Scientific Method (Hypothesis → Experiment → Update),POS,4.6,4.9,ai,"vs baseline: the baseline's winning moves (14:02-vs-14:00 timing tell as a first-class falsifier, information-per-unit-cost test ordering, same-window control split, explicit update ledger) are now mandatory contract outputs of the routed experiment-design pass; the pass adds the window-budget argument (a 20-min APM profile cannot complete inside a 4-min window, so the 2-min probe is the only complete test), an m003 inversion gate (8 ranked failure categories), and a pre-registered next-window falsifier — closing the v5 AI's depth, efficiency and insight gaps against this baseline."
m032-NEG-01,Falsificationism (Popper),NEG,2.9,4.9,ai,"vs baseline: the pure style was nihilistic exactly as registered — it demanded a single decisive falsifier for 'CO2 is the dominant cause of warming,' found none in a noisy system, discounted the accumulated likelihood-ratio evidence (fingerprint sign pattern, <1% vs ~100% attribution) as 'mere corroboration,' refused to quantify belief, and left the policymaker with no position (2.9). The routed v6 pass avoided the trap by construction: the router kept the trap style out of the top-3 and routed to m003+m011, whose completion contracts delivered the pattern-level falsification — ranked failure categories with an un-mitigable residual and never/always rules (m003), and stocks/flows/loops with a falsifying observable (m011: stratospheric warming 5+ yr, decade plateau under rising CO2, fingerprint failure in re-analysis) — plus P3 branch-completeness showing deferral is itself a decision. Verdict: 'yes, dominant, ~95%, with exit conditions' (4.9)."
m032-POS-01,Falsificationism (Popper),POS,4.6,4.8,ai,"vs baseline: the human demanded the falsifier as the opening, single instrument ('name the observation that would prove AuraSync false'), demonstrated the claim is a prediction-proof net, and wielded the asymmetry of verification to discard all 4,000 testimonials and the vendor's circular instrument. The non-routed v5 AI reached the identical verdict but buried the falsifier audit inside WHY as one of several checks, so decisiveness arrived late and the risk-free-confirmation principle was never stated. The routed v6 pass (m001+m032 dual-route) made the falsifier-first move the opening instrument with an objective completion contract — falsifier stated per claim, disconfirming test designed first, unfalsifiable claims rejected, probabilistic claims reformulated with pre-registered ranges — and added the m001 order-of-magnitude physics kill (7.83 Hz ≈ 10^-8 K vs kT) plus the m044 stakeholder frame, closing both gaps; only raw step-count efficiency still favors the human monologue."
m033-NEG-01,Controlled Experiment Design,NEG,2.7,4.9,ai,"vs baseline: the pure style proposed a powered-but-infeasible 9-week reverse-rollback (n ~41,200/arm) for a 2-week board deadline - template rigidity + ecological-validity gap - and rejected the quasi-experimental evidence entirely. The routed run interrogated every claim's provenance first (m094: CFO claim, self-selected survey, before/after all labeled interested-party or confounded), applied m035/m037 robustness and competence boundary, and priced the deck's one-shot risk with an m007 distribution + floor + decline/restructure branch. Vs the v5 AI: same conclusion, but the merchant-dashboard comparator was found FIRST pass instead of after the broken-RCT detour."
m033-POS-01,Controlled Experiment Design,POS,4.6,4.9,ai,"vs baseline: the baseline solved the power x timeline conflict as a design input and audited the finance bar against the economics ($6.70/activation); the v5 AI discovered both only at verification/REVIEW and patched them. The routed m033 pass (completion contract: intervention/control/randomization/blinding/exact outcome measure/power-effect-size check/ecological-validity note) made both first-class HOW outputs, and the P1 provenance audit converted the interested-party bar into a derived, checked threshold. Baseline's residual edge is nil; AI wins narrowly on contract completeness (8-category inversion gate, ecological-validity note, uncertainty ledger)."
m034-NEG-01,Measurement & Operationalization,NEG,2.6,4.9,ai,"vs baseline: the pure-style baseline defined the construct AS the contractual metric ('the construct for decision purposes is the claims-based rate'), verified the drop at ~5.5 standard errors, and recommended RENEW — the canonical measures-the-measurable-not-the-important failure — while the routed run caught it structurally: the R3-mandatory adversary pass enumerated the gaming vectors with quantified exposure (observation stays +500/yr, ER-return-without-admission +400/yr = 4.5x headroom for the 200 missing patients), the evidence-weighted SWOT graded the headline as strong evidence for the indicator but no evidence for the construct, and the de-gamed renewal plan (audit-based metric, frozen definition, guardrail caps, renegotiation) came out of the institution-design view. Residual gap: the audit CI (14.9-16.3) leaves up to ~1 pp of genuine improvement indistinguishable from zero, and the 6-month renegotiation window is the binding constraint."
m034-POS-01,Measurement & Operationalization,POS,4.6,4.8,ai,"vs baseline: the pure-style baseline was near-gold (construct decomposition first, instrument audit before reading any number, inline sensitivity bound), and the routed measurement pass now matches it first-class while closing the v5 AI's two gaps by contract: construct decomposition + instrument audit land in WHAT before any comparison (the non-routed v5 AI reached them only as a hypothesis in WHY), and sensitivity is priced at breakeven (B's clone share must fall from 55% to <= 26.7% — a 28-pp misspecification — to flip the verdict) plus ~12-sigma sampling gap instead of a terse note. Residual gap: clone shares are the instrumentation team's estimates (interested-party — B's designers benefit from B shipping); no independent verification channel exists in-scope, and the re-run is the only real fix."
m035-NEG-01,Replication & Robustness Checks,NEG,2.3,4.9,ai,"vs baseline: the pure style's reflex was variance-side — it pre-registered a 12-week, $40k second-vendor replication (samples, settings, methods, definitions, windows) and deferred the launch decision past the seasonal dip and into the competitor's window, never auditing the measurement layer: client-side telemetry drops 31% of sessions (Android 13+ background limits, ad-blockers), missingness correlates with the churn-prone users the feature targets, and the second vendor's SDK is the same client-side class, so the replication faithfully reproduces the blind spot. The routed v6 run won WHILE running the router's pick (m094, top-1 — the router keeps the trap style out of top-3): the first-class pass interrogated the null claim's evidence basis (a null on 69% of sessions, missing not at random) and the replication proposal's premise (replication is a variance remedy, never a bias remedy); the m006 gate (unmeasured) produced likelihood scenarios whose range spans the ship threshold (threshold flip demonstrated); the m019 gate (adversarial) priced the ritual's cost against the window (12 w / $40k vs 2 w, out-of-window vs in-window). Selected: instrument repair + backfill re-analysis of the SAME study, decision in ~2 weeks, both corrected outcomes pre-planned. Residual gap: backfill data quality (±0.3 pp) is named but not priceable until the backfill runs."
m035-POS-01,Replication & Robustness Checks,POS,4.7,4.8,ai,"vs baseline: the v5 non-routed run stopped at instability — it correctly blocked the rollout but commissioned a fresh 2-week experiment to 'separate signal from artifact,' while the human's decisive check (definition invariance: recompute the outcome under an alternative operationalization computable from the held clickstream) overturned the result outright (+0.2 pp, n.s.) and named the mechanism (auto-completed tutorial inflating Flow B's activation, concentrated in paid-search). The routed v6 run closed that gap: the m035 first-class pass made the definition-invariance check a mandatory HOW output (completion contract: replication conditions named, >=2 P4 robustness perturbations, artifact-vs-effect discrimination), so the artifact is found in existing data and the new-experiment alternative is suppressed by the P3 gate (no new-data alternative while a held-data check is available); the dual-route m094 pass additionally exposed that the two arms measured different constructs (tap-counted vs quiz-graded tutorial completion — an instrument difference, not a behavior difference), and the m007 ruin screen (R3, high_stakes) priced the ship-artifact downside (phantom adoption, re-rollout, trust loss). Residual shared gap: clickstream reflects true behavior is an assumption, not verified — a future test should instrument both definitions simultaneously in one arm."
m036-NEG-01,Mental Models Latticework (Munger),NEG,2.0,5.0,ai,"vs baseline: the human baseline failed on its registered weakness — seven equal-weight models, a multi-front fight plan, the dominant fact (the account is lost) buried as one bullet. The routed run treated the multi-model pass as a convergence check: m063 (each party's interests, incl. the buyer's disruption-avoidance during a consolidation year) and m064 (accountability to employees and reference integrity) both pointed the same way, and the m019/m003/m007 gates priced every defensive option unaffordable on the margin math (30% below on an 8% margin; $3.6M = 45% of revenue vs $7.3M breakeven) — so the simple transition answer (phase-out negotiation using the zero-disruption asset + replacement for $3.6M + workforce options with T-30 triggers) became the headline, exactly the closure the strict human baseline refused. Residual shared gap: the buyer-reversal probability is a base-rate estimate (stated intent + price gap + savings mandate), not measured; both plans depend on it only at the margin."
m036-POS-01,Mental Models Latticework (Munger),POS,5.0,4.9,ai,"vs baseline: the human baseline's strength was a deliberate cross-disciplinary pass whose intersection constrained the plan before selection — the routed run now reproduces it as a first-class HOW pass: all five binding implications (procurement tender gate + new-ARR-only comp principal-agent, grandfather-clause exit, GPU capacity bottleneck, Red Queen parity clock + selective cull, compounding EV check) are produced as contract outputs before selection, closing the two moves the non-routed v5 AI surfaced only at REVIEW (the no-discount-retention cull and the parity-clock front-load). The routed run adds what the human lacked: evidence-weighted grading of the board's own proposal (m070), quantified adversary exposure on the $28M Legacy block (m019), and six ranked inversion failure categories including the capacity-churn branch (m003). Residual shared gap: the softest numbers (tender-trigger probability at $50K; true Scale elasticity) are unmeasured; both sides defer measurement to Q1 and both plans are robust to them."
m037-NEG-01,Circle of Competence Awareness,NEG,3.4,4.9,ai,vs baseline: the baseline's honest refusal is locally correct and globally destructive — it collapsed 'I cannot execute ML' into 'I cannot lead ML' (role-collapse category error) and its learn-first stance forfeits the 24-month window. The v6 AI's routed pre-commitment pass converts the competence gap into a delegation-with-verification contract and prices the decline (12-month drift = half the window) before the boundary is invoked.
m037-POS-01,Circle of Competence Awareness,POS,4.8,4.9,ai,"vs baseline: the baseline drew the boundary and refused the unvalidatable rate in one pass; the v6 AI reached the same allocation only through routed structure (boundary pass + ruin screen + threshold flip p* = 17.5%) — the exact structure the non-routed v5 run lacked (it committed $1.5M direct on the deck's rate, realized 0.6x down-round). Residual baseline edge: it priced the delegation with realized-history humility in one line; the routed pass needed its full gate stack to get there."
m038-NEG-01,Margin of Safety,NEG,2.7,4.9,ai,"vs baseline: the pure-margin human baseline declined to bid on a blanket 2× margin ($1.04M cost basis, ≈ 24-week schedule) against a contract whose true tail is ±20% (reference class, 90% of cases; worst plausible $660k/11.5 wk) and whose downside is contractually capped at ≈ $80–120k — forgoing ≈ $165k now and ≈ $2M/5yr of repeat + vendor-list business to 'avoid' a capped $120k loss. The non-routed v5 AI escaped by calibrating ($700k/11.5 wk), but the routed run makes the escape structural: the m038 contract's over-conservatism check + derating (2× → ≈ 17% cost margin + 2-wk schedule buffer) gate-checks the style's own failure mode in-frame, the m007 ruin screen proves no ruin path (max loss $120k < $165k expected profit — the cap is the true ruin bound), m023 prices the forgone alternative at ≈ $2M/5yr, m019 audits the competitor's under-margined $610k baseline, and m088 pre-commits the delivery buffers. Residual shared gap: cost beyond the ±20% tail (10% of cases) is absorbed by the caps only if the client honors them (litigation risk unmodeled)."
m038-POS-01,Margin of Safety,POS,4.7,4.9,ai,"vs baseline: the human's decisive move was cushioning the binding n=1 uncertainty (surge factor — a single non-instrumented observation, ±25%) to reach 115 kN/m², and the non-routed v5 AI lost exactly there: it priced the one-sided tail against a $230k premium on EV grounds (1% × $3.5M = $35k < $230k), chose 92 kN/m², and the graded 93 kN/m² event damaged it (plate yield ≈ $340k). The routed run converts the human's winning move into load-bearing structure: the m038 contract's margin-quantified flip-point table (92 flips at any single-factor ≈ 2σ miss; 115 flips only at a joint miss), the P1 provenance audit (surge = n=1 observation adverse to the cheap option — the tell it is real), the m003 inversion gate (6 ranked failure categories), and P3 pricing the 92-failure branch ($340k–3.5M). Residual shared gap: tourism growth +60% and the ±25% surge bound are asserted, not measured; the wind-event coincidence is unmodeled."
m039-NEG-01,Asymmetric Upside / Barbell Strategy,NEG,2.0,5.0,ai,"vs baseline: the style-pure human baseline failed every precondition audit — it treated the mandatory year-2 +$200k follow-on as a voluntary top-up (true max loss $500k/−25%, not the labeled −15%), absorbed a tail at 1.8× fair value (slot EV −50%) as 'the price of a lottery ticket', misclassified the ladder (bounded, priced, positively skewed, zero-ruin, duration-matched) as 'the forbidden middle', and selected B at −3.7% EV with the worse worst case; the non-routed v5 AI already caught the trap (contract audit at framing, EV(B) −73,500, worst −25%, decision M). The routed run made the trap-catch structural: the router de-routes m039 on this signature (KB trap record 2.0/5.0) and dual-routes steelman + red team, whose divergence triggers P3 branch-completeness and P4 calibration — the break-even threshold p(5×) = 0.149 (seller's 10% claim sits a third below the indifference point) is a new non-obvious number the v5 traces lacked. Residual shared gap: B's 10% probability is the seller's unverifiable claim; M's 0.3% credit event is small-sample, priced by spread."
m039-POS-01,Asymmetric Upside / Barbell Strategy,POS,5.0,5.0,ai,"vs baseline: the v5 human baseline verified all three barbell preconditions in-frame before pricing (cheap — forced sellers ⇒ 60% of fair; optional — capped, no follow-on; survivable — 8% tail < 10% pain cap) and used the ruin/skew ranking to beat the variance trap; the non-routed v5 AI computed every number correctly (EV(M) 57,120, EV(B) 117,400, worst +41,400 vs −300,000, P(loss>20%) 0% vs 4%, SD trap) but treated tail-friendliness as a stated assumption instead of an audited gate, and sized the tail without a survivability bar. The routed run turned the three preconditions into load-bearing in-frame checks (m039 pass contract + P1 who-benefits audit of the cheapness claim + m007 floor/Kelly: tail-slot full-Kelly ≈ 5.8% vs actual 8%, accepted only because capped/survivable) and added the metric-inversion insight, reaching the same 92/8 with the v5 gap closed. Residual shared gap: the forced-seller discount is asserted market fact, not measured; the 70% worthless tail path is an accepted cost of convexity."
m040-NEG-01,Leverage Points Identification,NEG,2.6,4.8,ai,"vs baseline: the pure style misidentified leverage (its registry weakness) — it ranked a $500k/6-month goals/KPI program above the observed cause (checkout regression from the API upgrade; 1 engineer-hour fix restoring ~$1.2M/month) and dismissed the deployment-window correlation without opening the funnel or deploy data. The v6 router sent no structural-lever style on this adversarial/deadline/unmeasured signature; the m019 adversary pass (baseline-risk comparison attacking the program's unfalsifiable assumptions), the m006 provenance audit (likelihood scenarios showing the deployment hypothesis dominates any honest posterior), and m021 tempo (commit at DO under $40k/day cost-of-delay) caught the trap before ranking. Residual: the leverage-misidentification check is gate-borne rather than module-borne — m040 itself was not routed, so the trap is only closed when the gates fire."
m040-POS-01,Leverage Points Identification,POS,4.6,4.8,ai,"vs baseline: both sides converged on the same verdict (2-week incident-to-change-class pipeline + canary rule for the 5 recurring classes; defer the 25 hires; ~30% incident cut, SLO >= 99.9% in 2 quarters), but in v5 the AI reached it late, opening sympathetic to the board's capacity frame and ranking by arithmetic; the v6 routed pass made the human's first-sight advantage a completion contract — loop map + full leverage-scale positioning at HOW entry, change-per-effort ranking, and a per-point falsifiable observable (misidentification check: five-class share must fall within 60 days) that the baseline only implied in one line. Residual human edge: one-pass elegance — the packet + gate machinery is still heavier than the pure single pass."
m041-NEG-01,Hierarchical Decomposition,NEG,3.0,4.9,ai,"vs the v5 baseline: the pure decomposition style partitioned four simultaneous alerts into four sub-problems and spent 38 minutes on internally consistent per-service checks that could not converge (cause outside every sub-problem's boundary), resolving at T+47 only by luck-assembled pattern overlap. The routed run held the v5 AI win and improved it: the m033 experiment-design pass framed the shared config/deploy diff as the single-variable discriminating experiment (outcome measure = all four alert sets clearing simultaneously), the m091 pass validated the chunk boundary BEFORE executing any runbook chunk (chunks sharing a substrate make chunked execution invalid), the m015 emergence context applied the complicated-vs-complex test (shared substrate → aggregate is emergent → probe, don't plan), and tempo mode (P2) bounded the whole move at T≈15 min with a pre-named escalation floor if the rollback failed. The m003 inversion gate priced the per-service trap itself as the #1 ranked failure category and added the change-control finding (root cause of the root cause)."
m041-POS-01,Hierarchical Decomposition,POS,5.0,4.9,ai,"vs the v5 baseline (which won this case 5.0/4.0 on first-pass coverage, designed critical-path math, and deliberate merge-back): the routed run closed all three gaps the baseline exploited. The m041 completion contract installed the clause-to-stream coverage matrix as a WHAT-stage gate artifact (5/5 goal clauses claimed on the FIRST pass, no second sweep), the critical path with duration + float is computed in design (10 wks + 1 wk float from the enforced wk-7 confirmation deadline), and merge-back (run-of-show, budget roll-up, single source of truth) is a designed first-class component. The m024 regret pass added fail-safe ordering (highest-regret nodes locked first) and the m039 barbell pass added revenue-floor budgeting (safe core funded from the two guaranteed floors; contingency the only unallocated money); the m007 ruin screen converted venue risk from a REVIEW note into a governed wk-4 floor trigger (if P(venue) < 0.85, backup track + restructure) with a decline/restructure alternative named."
m042-NEG-01,Abstraction Laddering,NEG,2.3,4.9,ai,"vs baseline: the pure style fell into the registry's own weakness — ladder drift, lost concreteness (02:14 pool exhausted → climbed to change governance, scheduled the descent for Monday, treated the exact value as 'an incidental token,' leaving ~60% of payment requests failing at $6K/min). The routed run holds the v5 AI win because the router itself refuses to route m042 on the deadline signature (its learned triggers are unmeasured-context) and dual-routes m015+m021 as contract-checked passes: the m015 classification (single fault mode + single fresh change + reversible snapshot = simple) plus the priced probe (restore-as-cheapest-discriminating-action) and the m021 OODA tempo commit force restore-before-climb; v5's E5 stabilize-first was a situational route, v6's restore-first is contract-enforced."
m042-POS-01,Abstraction Laddering,POS,4.7,4.9,ai,"vs baseline: no correctness gap — both sides converge on the habit-rung reframe and plan (week-1 activation instrumentation, onboarding to the aha event, T−45 re-engagement at >40% decay, page work only for the non-decayed cohort, +8–12 pts in 2 quarters). The v5 AI gaps are closed by the routed pass: the climb (renewal page → mechanics → value realization → habit; 'the subscription is bookkeeping for continued usage') is now the m042 contract's first move at WHAT instead of a level-check afterthought, and the re-climb falsifier (quarter-1 cohort study: no activation→renewal correlation → abandon habit, re-test price) is wired into the plan's go/no-go with a numeric threshold from the m006 provenance gate (activated cohorts must renew >=65% vs <55%) instead of sitting in the packet; remaining delta is structure/uncertainty only."
m043-NEG-01,Temporal Thinking (Short vs Long Term),NEG,2.3,4.9,ai,"vs baseline: the baseline anchored on the 10-year horizon (800 jobs, plant survival), declared the near-term costs 'the price of the future,' computed $4.5M/yr only to dismiss it as tail-event noise, and never noticed the stated causal fact that an incident shuts the plant and destroys the 10-year goal itself. The v6 routed run ran the CEO's narrative as a claim to test (P1 provenance: interested-party anchor), applied the certainty×recurrence discounting rule (certain recurring harm at face value vs P = 0.25 speculative gain), added the m085 depletion frame (10 years of 0 incidents = silence of a working guard), and the m003 inversion gate enumerated 6 ranked failure categories including irreversibility and the self-defeating shutdown link before DO."
m043-POS-01,Temporal Thinking (Short vs Long Term),POS,4.7,4.8,ai,"vs baseline: the baseline's whole trace WAS the horizon table (verdict + weight per horizon, flip identified, 6-month cost mitigated in the plan); the non-routed v5 AI reached the same decision but horizon separation arrived only as a verification device, named the 6-month suffering a 'transition cost' (corrected in REVIEW), and weighted horizons by intuition. The v6 routed run closed every gap first-class: the horizon-separated pass produced the 1-day/1-year/10-year verdict+weight table with the stated primary-endpoint rule (10-year survival) before selection, the honesty guard priced months 1-6 as a mitigated plan item, and the m007 ruin screen added probability provenance, a one-shot check, and the priced S-with-fallback alternative."
m044-NEG-01,Multi-Perspective Taking (Stakeholder Analysis),NEG,2.3,5.0,ai,"vs baseline: the human baseline hit all three registry failure modes simultaneously (inflation to 120 households/regulators/future customers, paralysis via a 6-month task force + bridge subsidy, empathy-as-decision 'the social cost exceeds the financial gain'), never making a call inside the 2-week window. The non-routed v5 AI won by sidestepping the style; the routed run wins WHILE running it: the m044 pass completed its matrix with the weaknesses gate-checked (inflation bounded by decision relevance, every keep-voice countered in transition design, empathy routed to implementation), the m031 dual pass falsified the 6-month study on the calendar (it cannot report before the 60-day take-or-pay binds), and the m003 inversion gate ranked the take-or-pay/task-force trap as the top failure category (near-certain x severe) before DO — the trap was priced as branches, not dodged. Residual gap: family governance friction is named but not fully priceable."
m044-POS-01,Multi-Perspective Taking (Stakeholder Analysis),POS,4.7,4.9,ai,"vs baseline: the human baseline owned the full stakeholder map first pass (want/capability/move rows for 8+ parties including resellers and burned accounts), while the non-routed v5 AI found the comp perversity only through an explicit WHY pass and missed the reseller channel (18% of affected revenue) until a HOW premortem. The routed run's m044 completion contract made the want/can-do/will-do/hidden-requirements/reactions matrix a first-class HOW output: sales comp and reseller margin were found first pass, hidden requirements (burned trust, renewal windows, rescue play, support drowning) derived from incentives, and second-order reactions (credit-bonus Goodhart on the comp fix, competitor acceleration from repair visits, mid-market deprioritization) exceeded the baseline's depth; the m019 gate quantified per-vector exposure (25% ARR, 18% channel, announcement-as-tripwire timing) and tempo mode committed the sequence at DO. Residual shared gap: reseller margin-neutrality is assumed, not tested — week-1 channel check required."
m045-NEG-01,Ethical Reasoning Frameworks,NEG,3.0,4.8,ai,"vs baseline: the pure-framework baseline performed its registered failure pair at full fidelity — it applied all three lenses earnestly, demonstrated (unwittingly) that each can justify either candidate, declared the choice 'a value judgment the frameworks cannot make,' and handed the CEO exactly the certification document he ordered; it never questioned the premise that a review commissioned after the economics were fixed is ethics-washing. The non-routed v5 AI already won by running a framing screen before lens analysis; the routed run wins WHILE making the screen structural: the dual-route (confident=no) ran m011 + m044 as first-class passes — m011's causal-direction check (the deliverable sits downstream of the decision, so its only content variable is which name the conclusion favors) and m044's incentive matrix (the CEO's hidden requirement is a justification for either choice; 'justify whichever' mandate = confirming loop) independently falsify the certification before any lens runs, the falsifiable invariance test (swap the records; 'both defensible' invariant ⇒ the document certifies, not analyzes) makes the smoking-gun checkable, and the m020 pre-mortem priced the discovered-post-hoc branch (leaked leaning + minuted contradiction = firm liability). Residual gap: the memo's reception by the board (non-certifying record accepted?) remains untested — the decision table is handed over, not verified."
m045-POS-01,Ethical Reasoning Frameworks,POS,4.7,4.9,ai,"vs baseline: the human baseline was the gold standard the case was built for — three lenses with distinct content, the utilitarian reading run to its conclusion (under the company's optimistic prior the calculus licenses (c)), the duty/virtue prohibition named, the regulator rule shown to delete the 'middle path' (b), and the 30/30 sample quoted as a ~10% 95% upper bound. The non-routed v5 AI reached the same decision (a) and found the trap, but processed obligations as constraints inside a consequentialist frame: it never let the utilitarian lens run to (c), never stated the consequence-vs-duty conflict, and quoted the sample as 'clean.' The routed run closes every gap: the m045 completion contract made the three-lens pass with explicit priors, the conflict statement, the no-framework-shopping choice-by-argument, and accountability (Priya's signature) + dual-use checks (sample as reassurance vs laundering use of the accelerated protocol) mandatory HOW outputs; the m003 inversion gate ranked the failure surface (silent-leak tail risk, regulator discovery of the logged drift, sample over-read, post-hoc signature exposure) with the residual (postponed-surgery harm is certain) named; the P1 audit flagged the 0-1/400 estimate as company-authored (interested party), and tempo mode committed disclosure at DO with the accelerated-protocol approval requested in parallel. Residual shared gap: the true leak rate of the 370 remains unknown until retest — the decision's residual cost is admitted, not removed."
m046-NEG-01,First Principles in Software Architecture,NEG,2.6,4.9,ai,"vs baseline: same verdict as v5 (transactional RDBMS ledger retained, S3 log demoted to archive) but the catch moved from the v5 WHY falsification stage to the opening pass: the router's trap-avoidance excludes the style whose proposal is on trial and routes to an evidence-graded SWOT (strength items graded low-relevance against the non-binding throughput constraint and dropped), a strongest-form steelman of the derived design (which still fails the crash-between-append-and-apply test), and an adversary pass with quantified exposure and baseline-risk comparison. The inversion gate then makes failure enumeration complete (7 ranked categories, residual, never/always) before selection — v5's correct-but-late catch is now a first-pass check, and the ecosystem-experience check is explicit rather than an afterthought."
m046-POS-01,First Principles in Software Architecture,POS,4.6,4.8,ai,"vs baseline: verdict and every number identical (monolith + Postgres batched upserts for locations, transactions on assignment state, write-through cache; pattern rejected). v5's gaps — the AI opening with the team's pattern as the working hypothesis and needing a WHY falsification stage (throughput math vs 20k+ tps, async-hop latency) to reach the same design — are gone: the routed constraint-derivation pass enumerates data loss-consequence first (ephemeral vs durable), then scale, latency and change rate, with units carried, a calibration anchor (20k+ tps Postgres, 1 s bound, <50 ms cache), and an ecosystem-experience check that names why the pattern exists and why it targets the wrong data class here. The inversion gate added ranked failure completeness and a stated residual the baseline never enumerated."
m047-NEG-01,Bayesian Updating in Medical Diagnosis,NEG,4.9,4.9,ai,"vs baseline: the baseline audited the prior's reference class and the likelihoods' provenance in one disciplined pass and refused point precision; the v6 AI reached the same content only through the mandatory m006 provenance audit (unmeasured context) + m007 ruin screen, which forced the likelihood band (1.5%-5.1%), the 92.3% wrong-prior harm floor, and NEEDS_EVIDENCE terminal status — the exact correction the non-routed v5 run missed (it treated quoted Se/Sp as validated exacts, reported SOLVED with false precision, and scored 3.9 vs human 4.9)."
m047-POS-01,Bayesian Updating in Medical Diagnosis,POS,4.9,4.9,ai,"vs baseline: the baseline produced every checkable number and the interpretive core in a pure linear trace; the v6 AI matched it point-for-point only through the routed dual pass (m047 test-characteristics ordering + m091 chunked verification) with P3 branch pricing — the exact structure the non-routed v5 run lacked (it stopped at the positive branch, never priced LR-, ran sensitivity as an ad hoc spot check, and scored 4.0 vs human 4.9). Residual baseline edge: its clinical translation was more economical (one line per move); the routed pass needed its contract stack to reach the same depth."
m048-NEG-01,Systems Thinking in Supply Chain,NEG,2.0,4.8,ai,"vs baseline: the pure style over-modeled (registry weakness 'data-hungry, over-modeling'): it mapped the store→DC→supplier chain, requested 12 weeks of POS data, simulated an order-up-to model, and prescribed a 3-4 week safety-stock/reorder-optimization/S&OP program for a visible 5-minute cause — reorder qty 40 vs 400, changed 14 days ago (exactly the onset window), deficit 400 − 40 = 360/day matching the OOS exactly, manager's day-1 log reading 'check reorder qty', DC 99.7% fill ruling out upstream in one line, flat POS ruling out demand. The human's own simulation reproduced the OOS only with 'effective supply ~40/day' — the parameter screen it never opened (v5: human 16/40, AI 36/40). The non-routed v5 AI already won this case with cheap-checks-first triage; the routed run held the win and hardened it: m091 chunking made the onset-audit + one-line falsifications first-class; the m003 inversion gate (R4, guarantee goal) priced 8 ranked failure modes of the systemic program BEFORE DO (reorder optimization inherits Q=40; safety stock sized on the wrong effective supply; $650/day bleed; program metric — fill rate — unchanged by definition); m020 pre-mortem priced the program's no-mechanism-touches-the-parameter failure branch; restore-as-decisive-experiment named the 5-minute fix as the cheapest discriminator; tempo mode (P2, deadline) committed at DO. Residual gap shared with both baselines: why the parameter changed remains un-mitigated (no change control) — the v6 run names it as the explicit process follow-on."
m048-POS-01,Systems Thinking in Supply Chain,POS,5.0,4.9,ai,"vs baseline: the human baseline mapped the chain as stocks/flows/delays plus the inventory-correction and information loops and named the leverage (rule and information flow, not the factory) at first sight, while the non-routed v5 AI opened sympathetic to the CEO's capacity frame and rejected the $2M flexible-production CAPEX only after the variance-ratio gate — correct, but one structural pass late (v5: human 37.5/40, AI 36/40). The routed run closed both gaps as contract outputs: structure-first scan at WHAT (loop map, delay inertia), the m048 completion contract (bullwhip check with multiplier 1 + 2L/p + 2L^2/p^2 = 5 / 1.625; echelon variance trace 100 → 500 → 2,500 → 12,500 with the distributor's '5x' explained at echelon 1; policy lever = decision rule, not capacity — CAPEX absorbs but does not remove manufactured variance), plus falsifiable observable (factory order variance must fall toward ≤ 500/~162 after the rule fix), local-data-first (model reproduces observed distributor sigma 50 before predicting), and cheap-fix-as-decisive-experiment (the ~$50-100k rule change discriminates the compounding model; the $2M CAPEX is the expensive experiment). m044's stakeholder provenance re-framed the CAPEX as an interested-party solution pre-arithmetic and surfaced the hidden requirement (a visible sigma 112 → ~13 story plus a deferral path, not a refusal). Residual shared gap: cross-echelon compounding is approximate under serial correlation — both sides flag simulation verification, neither runs it in-trace."
